"id";"title";"region_id";"created_at";"updated_at"
"73";"Ульяновская область";"73";"14/11/2022 13:57:59";"14/11/2022 13:57:59"
"74";"Челябинская область";"74";"14/11/2022 13:57:59";"14/11/2022 13:57:59"
"75";"Забайкальский край";"75";"14/11/2022 13:57:59";"14/11/2022 13:57:59"
"76";"Ярославская область";"76";"14/11/2022 13:58:00";"14/11/2022 13:58:00"
"77";"Москва";"77";"14/11/2022 13:58:00";"14/11/2022 13:58:00"
"78";"Санкт-Петербург";"78";"14/11/2022 13:58:00";"14/11/2022 13:58:00"
"79";"Еврейская автономная область";"79";"14/11/2022 13:58:00";"14/11/2022 13:58:00"
"80";"Агинский Бурятский автономный округ";"80";"14/11/2022 13:58:00";"14/11/2022 13:58:00"
"81";"Коми-Пермяцкий автономный округ";"81";"14/11/2022 13:58:01";"14/11/2022 13:58:01"
"82";"Корякский автономный округ";"82";"14/11/2022 13:58:01";"14/11/2022 13:58:01"
"83";"Ненецкий автономный округ";"83";"14/11/2022 13:58:01";"14/11/2022 13:58:01"
"84";"Таймырский (Долгано-Ненецкий) автономный округ";"84";"14/11/2022 13:58:01";"14/11/2022 13:58:01"
"85";"Усть-Ордынский Бурятский автономный округ";"85";"14/11/2022 13:58:01";"14/11/2022 13:58:01"
"86";"Ханты-Мансийский автономный округ - Югра";"86";"14/11/2022 13:58:02";"14/11/2022 13:58:02"
"87";"Чукотский автономный округ";"87";"14/11/2022 13:58:02";"14/11/2022 13:58:02"
"88";"Эвенкийский автономный округ";"88";"14/11/2022 13:58:02";"14/11/2022 13:58:02"
"89";"Ямало-Ненецкий автономный округ";"89";"14/11/2022 13:58:02";"14/11/2022 13:58:02"
"91";"Республика Крым";"91";"17/11/2022 15:22:36";"17/11/2022 15:22:39"
"92";"Севастополь";"92";"17/11/2022 15:23:01";"17/11/2022 15:23:04"
"93";"Казахстан, Байконур";"101";;
